LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT (?),WINNERS
Megalotto 6/45,13-12-19-34-35-09,1/2/2012,"4,500,000.00",0
Megalotto 6/45,19-12-22-34-30-11,1/4/2012,"6,899,182.20",1
Megalotto 6/45,01-12-11-41-17-36,1/6/2012,"4,654,310.40",1
Megalotto 6/45,30-20-44-34-27-38,1/9/2012,"4,500,000.00",0
Megalotto 6/45,43-45-19-11-05-02,1/11/2012,"6,859,371.60",0
Megalotto 6/45,35-41-27-17-06-09,1/13/2012,"11,572,444.80",0
Megalotto 6/45,01-27-35-42-44-12,1/16/2012,"15,261,555.60",0
Megalotto 6/45,03-15-33-11-40-25,1/18/2012,"19,007,607.60",0
Megalotto 6/45,44-39-35-22-36-07,1/20/2012,"24,023,273.40",0
Megalotto 6/45,42-40-24-05-06-26,1/23/2012,"27,907,365.60",0
Megalotto 6/45,19-43-31-34-12-29,1/25/2012,"32,073,886.80",0
Megalotto 6/45,26-32-11-02-25-22,1/27/2012,"37,470,274.20",0
Megalotto 6/45,02-10-06-11-26-24,1/30/2012,"42,012,459.00",2
Megalotto 6/45,09-03-40-16-27-28,2/1/2012,"4,500,000.00",1
Megalotto 6/45,34-05-29-23-11-08,2/3/2012,"4,904,040.60",1
Megalotto 6/45,16-39-23-15-01-12,2/6/2012,"4,500,000.00",0
Megalotto 6/45,10-05-30-15-42-31,2/8/2012,"8,003,480.40",0
Megalotto 6/45,20-17-14-25-19-08,2/10/2012,"13,959,653.40",0
Megalotto 6/45,41-04-01-07-13-06,2/13/2012,"18,069,242.40",0
Megalotto 6/45,33-34-28-40-14-08,2/15/2012,"22,984,351.20",1
Megalotto 6/45,09-20-22-06-34-40,2/17/2012,"5,362,981.20",0
Megalotto 6/45,10-17-07-29-21-18,2/20/2012,"9,411,816.60",0
Megalotto 6/45,09-22-30-02-37-21,2/22/2012,"13,658,004.00",0
Megalotto 6/45,14-13-32-42-21-20,2/24/2012,"19,333,972.80",0
Megalotto 6/45,11-34-24-27-29-16,2/27/2012,"24,046,826.40",2
Megalotto 6/45,45-12-43-33-05-26,2/29/2012,"4,500,000.00",0
Megalotto 6/45,21-06-41-20-32-13,3/2/2012,"9,318,450.60",1
Megalotto 6/45,14-10-12-45-36-22,3/5/2012,"4,500,000.00",0
Megalotto 6/45,10-31-08-04-13-01,3/7/2012,"7,821,239.40",0
Megalotto 6/45,40-39-07-37-29-10,3/9/2012,"13,011,136.20",1
Megalotto 6/45,06-13-22-08-23-02,3/12/2012,"4,500,000.00",1
Megalotto 6/45,26-23-31-09-13-24,3/14/2012,"4,500,000.00",0
Megalotto 6/45,43-38-45-24-04-42,3/16/2012,"8,681,112.00",0
Megalotto 6/45,45-04-24-05-30-42,3/19/2012,"12,715,893.00",0
Megalotto 6/45,25-31-05-35-23-14,3/21/2012,"16,826,643.00",0
Megalotto 6/45,25-05-16-06-40-17,3/23/2012,"22,099,950.00",0
Megalotto 6/45,17-23-37-35-06-26,3/26/2012,"26,496,919.80",0
Megalotto 6/45,45-03-41-27-15-11,3/28/2012,"30,693,411.00",0
Megalotto 6/45,07-21-13-06-04-40,3/30/2012,"36,441,844.20",2
Megalotto 6/45,06-16-36-01-25-34,4/2/2012,"4,500,000.00",0
Megalotto 6/45,28-04-35-06-33-37,4/4/2012,"7,582,555.80",0
Megalotto 6/45,32-14-38-23-27-15,4/9/2012,"10,926,372.60",0
Megalotto 6/45,29-28-44-41-32-43,4/11/2012,"14,777,254.80",0
Megalotto 6/45,28-25-33-12-43-17,4/13/2012,"19,789,786.80",0
Megalotto 6/45,45-22-39-05-06-03,4/16/2012,"23,931,543.60",1
Megalotto 6/45,40-15-33-25-41-11,4/18/2012,"4,500,000.00",0
Megalotto 6/45,14-36-34-41-30-38,4/20/2012,"7,609,897.80",0
Megalotto 6/45,32-07-21-37-13-09,4/23/2012,"10,997,218.80",0
Megalotto 6/45,20-14-44-27-07-38,4/25/2012,"14,604,753.60",1
Megalotto 6/45,08-32-05-15-01-40,4/27/2012,"4,500,000.00",0
Megalotto 6/45,20-36-34-37-07-25,4/30/2012,"7,749,487.80",0
Megalotto 6/45,04-27-13-44-28-14,5/2/2012,"11,246,299.20",0
Megalotto 6/45,41-05-30-19-24-01,5/4/2012,"16,002,082.80",1
Megalotto 6/45,24-38-16-20-10-42,5/7/2012,"4,500,000.00",0
Megalotto 6/45,04-21-28-05-09-01,5/9/2012,"7,105,015.80",0
Megalotto 6/45,26-17-38-10-03-30,5/11/2012,"12,066,057.00",0
Megalotto 6/45,32-26-18-38-07-11,5/14/2012,"16,100,109.00",2
Megalotto 6/45,39-13-37-34-44-41,5/16/2012,"4,500,000.00",0
Megalotto 6/45,03-16-18-20-31-17,5/18/2012,"8,499,009.60",0
Megalotto 6/45,01-27-23-22-33-15,5/21/2012,"12,320,449.20",0
Megalotto 6/45,32-30-27-17-29-03,5/23/2012,"16,245,108.00",0
Megalotto 6/45,30-16-25-38-13-09,5/25/2012,"21,293,933.40",0
Megalotto 6/45,32-19-22-27-26-31,5/28/2012,"25,449,129.00",0
Megalotto 6/45,37-40-42-45-30-17,5/30/2012,"29,608,947.00",0
Megalotto 6/45,33-04-17-28-16-38,6/1/2012,"35,024,238.00",0
Megalotto 6/45,19-14-31-37-12-38,6/4/2012,"39,521,349.00",0
Megalotto 6/45,45-32-40-28-34-12,6/6/2012,"44,161,727.40",0
Megalotto 6/45,12-34-15-11-19-36,6/8/2012,"50,192,634.60",0
Megalotto 6/45,41-12-36-32-18-07,6/11/2012,"55,342,182.60",0
Megalotto 6/45,16-38-14-17-24-21,6/13/2012,"60,428,377.80",0
Megalotto 6/45,36-01-13-28-03-15,6/15/2012,"67,152,445.20",1
Megalotto 6/45,07-03-45-05-35-02,6/18/2012,"4,500,000.00",0
Megalotto 6/45,32-20-44-18-37-29,6/20/2012,"7,225,468.20",0
Megalotto 6/45,43-13-23-18-26-28,6/22/2012,"12,098,820.60",0
Megalotto 6/45,10-15-37-04-23-02,6/25/2012,"15,893,226.00",0
Megalotto 6/45,36-41-32-08-13-23,6/27/2012,"19,974,409.20",2
Megalotto 6/45,19-26-22-13-18-37,6/29/2012,"4,837,248.00",1
Megalotto 6/45,22-25-06-30-11-35,7/2/2012,"4,500,000.00",1
Megalotto 6/45,43-32-02-17-37-30,7/4/2012,"4,500,000.00",0
Megalotto 6/45,11-45-43-04-44-20,7/6/2012,"8,763,177.60",1
Megalotto 6/45,19-32-06-26-21-05,7/9/2012,"4,500,000.00",0
Megalotto 6/45,36-23-02-33-10-07,7/11/2012,"7,502,513.40",0
Megalotto 6/45,43-31-29-27-23-25,7/13/2012,"12,597,001.20",0
Megalotto 6/45,16-22-03-34-35-27,7/16/2012,"16,845,267.60",0
Megalotto 6/45,02-27-09-04-28-18,7/18/2012,"21,053,246.40",1
Megalotto 6/45,36-05-30-33-44-37,7/20/2012,"4,621,663.80",0
Megalotto 6/45,29-27-34-12-07-23,7/23/2012,"8,216,551.80",2
Megalotto 6/45,12-05-04-08-19-27,7/25/2012,"4,500,000.00",1
Megalotto 6/45,15-08-14-39-23-10,7/27/2012,"4,500,000.00",1
Megalotto 6/45,42-13-41-19-44-21,7/30/2012,"4,500,000.00",0
Megalotto 6/45,05-14-17-19-36-37,8/1/2012,"6,761,586.60",0
Megalotto 6/45,01-41-16-31-40-10,8/3/2012,"11,650,597.20",0
Megalotto 6/45,27-42-02-34-21-05,8/6/2012,"15,118,164.00",0
Megalotto 6/45,14-15-20-16-17-34,8/8/2012,"18,008,082.00",0
Megalotto 6/45,01-16-15-39-34-43,8/10/2012,"22,918,734.00",0
Megalotto 6/45,16-13-27-29-12-38,8/13/2012,"27,005,724.00",0
Megalotto 6/45,15-40-12-45-19-41,8/15/2012,"31,107,303.00",0
Megalotto 6/45,04-44-01-08-33-37,8/17/2012,"36,871,635.60",0
Megalotto 6/45,22-27-05-30-13-21,8/20/2012,"41,248,126.80",0
Megalotto 6/45,28-17-20-10-19-31,8/22/2012,"45,976,503.60",0
Megalotto 6/45,29-30-10-38-31-37,8/24/2012,"52,244,391.60",1
Megalotto 6/45,24-25-14-36-05-10,8/27/2012,"4,500,000.00",2
Megalotto 6/45,03-34-12-33-42-25,8/29/2012,"4,500,000.00",1
Megalotto 6/45,14-33-10-24-02-45,8/31/2012,"4,919,544.00",1
Megalotto 6/45,32-38-06-27-11-35,9/3/2012,"4,500,000.00",0
Megalotto 6/45,25-17-06-42-09-14,9/5/2012,"8,098,916.40",0
Megalotto 6/45,38-27-32-43-06-22,9/7/2012,"14,012,424.00",0
Megalotto 6/45,19-37-26-13-02-17,9/10/2012,"18,599,063.40",1
Megalotto 6/45,27-09-18-32-34-02,9/12/2012,"4,500,000.00",0
Megalotto 6/45,30-06-05-26-43-25,9/14/2012,"9,994,444.20",0
Megalotto 6/45,40-19-15-34-18-07,9/17/2012,"14,517,505.80",0
Megalotto 6/45,01-42-10-31-03-12,9/19/2012,"18,872,706.60",0
Megalotto 6/45,10-26-07-45-17-14,9/21/2012,"24,901,660.80",1
Megalotto 6/45,13-35-17-22-03-10,9/24/2012,"4,500,000.00",1
Megalotto 6/45,45-16-06-34-04-19,9/26/2012,"4,500,000.00",0
Megalotto 6/45,19-32-43-41-44-27,9/28/2012,"8,954,994.60",0
Megalotto 6/45,42-33-07-20-14-35,10/1/2012,"13,239,408.60",1
Megalotto 6/45,05-12-36-13-23-02,10/3/2012,"4,500,000.00",0
Megalotto 6/45,03-45-44-06-25-07,10/5/2012,"8,795,390.40",1
Megalotto 6/45,41-17-40-34-12-19,10/8/2012,"4,500,000.00",1
Megalotto 6/45,17-12-23-42-31-10,10/10/2012,"4,500,000.00",1
Megalotto 6/45,28-09-10-07-30-16,10/12/2012,"4,794,370.20",2
Megalotto 6/45,36-40-39-33-26-42,10/15/2012,"4,500,000.00",0
Megalotto 6/45,25-28-18-31-27-02,10/17/2012,"7,250,054.40",0
Megalotto 6/45,01-17-22-27-02-33,10/19/2012,"12,330,208.80",1
Megalotto 6/45,06-07-25-29-09-37,10/22/2012,"4,500,000.00",1
Megalotto 6/45,36-14-18-10-27-25,10/24/2012,"4,500,000.00",0
Megalotto 6/45,05-27-12-24-39-32,10/26/2012,"7,805,305.80",2
Megalotto 6/45,10-39-32-31-35-04,10/29/2012,"4,500,000.00",0
Megalotto 6/45,20-17-32-21-44-01,10/31/2012,"7,071,966.00",0
Megalotto 6/45,15-01-32-09-37-27,11/2/2012,"11,198,415.60",0
Megalotto 6/45,02-45-44-13-27-24,11/5/2012,"15,143,142.60",1
Megalotto 6/45,43-44-29-26-08-15,11/7/2012,"4,500,000.00",0
Megalotto 6/45,40-28-16-36-33-07,11/9/2012,"8,256,333.60",0
Megalotto 6/45,42-16-04-21-41-36,11/12/2012,"11,931,328.80",0
Megalotto 6/45,26-07-35-12-19-08,11/14/2012,"15,643,328.40",0
Megalotto 6/45,22-12-35-32-36-33,11/16/2012,"20,932,259.40",0
Megalotto 6/45,33-40-25-34-36-22,11/19/2012,"25,105,737.60",0
Megalotto 6/45,13-20-37-45-14-44,11/21/2012,"29,565,685.80",0
Megalotto 6/45,01-08-13-36-30-27,11/23/2012,"35,299,353.60",0
Megalotto 6/45,27-08-02-19-34-26,11/26/2012,"40,158,385.20",0
Megalotto 6/45,20-22-12-08-14-21,11/28/2012,"45,150,082.20",1
Megalotto 6/45,04-23-45-33-35-31,11/30/2012,"4,760,460.00",0
Megalotto 6/45,04-26-18-14-03-09,12/3/2012,"8,536,080.60",1
Megalotto 6/45,04-09-12-41-38-20,12/5/2012,"4,500,000.00",0
Megalotto 6/45,10-28-15-29-20-37,12/7/2012,"8,349,294.60",0
Megalotto 6/45,23-11-43-36-25-06,12/10/2012,"12,280,320.00",0
Megalotto 6/45,37-22-24-28-25-01,12/12/2012,"16,500,866.40",0
Megalotto 6/45,26-22-21-19-06-39,12/14/2012,"21,862,818.00",0
Megalotto 6/45,22-29-31-21-39-38,12/17/2012,"26,430,715.80",0
Megalotto 6/45,14-22-17-10-06-26,12/19/2012,"30,980,188.80",3
Megalotto 6/45,27-17-35-26-28-29,12/21/2012,"4,966,282.80",0
Megalotto 6/45,02-01-03-24-35-10,12/24/2012,"7,113,079.80",0
Megalotto 6/45,10-02-07-38-11-30,12/26/2012,"10,690,322.40",2
Megalotto 6/45,10-31-13-22-19-03,12/28/2012,"5,051,669.40",1
Megalotto 6/45,05-17-13-08-01-23,12/31/2012,"4,500,000.00",2
Megalotto 6/45,06-08-38-44-41-01,1/2/2013,"4,500,000.00",0
Megalotto 6/45,19-28-09-33-34-45,1/4/2013,"8,509,962.60",0
Megalotto 6/45,04-44-22-15-21-38,1/7/2013,"12,646,638.00",0
Megalotto 6/45,41-45-02-22-27-35,1/9/2013,"16,896,742.20",0
Megalotto 6/45,36-30-34-23-16-24,1/11/2013,"22,095,109.80",0
Megalotto 6/45,19-42-28-33-15-07,1/14/2013,"26,755,635.60",0
Megalotto 6/45,45-15-11-28-31-34,1/16/2013,"31,697,699.40",0
Megalotto 6/45,16-17-05-25-38-28,1/18/2013,"37,879,131.60",0
Megalotto 6/45,34-11-25-40-24-02,1/21/2013,"43,212,969.00",0
Megalotto 6/45,12-18-43-19-38-21,1/23/2013,"48,743,859.60",0
Megalotto 6/45,45-19-27-29-06-34,1/25/2013,"55,536,805.80",1
Megalotto 6/45,23-44-03-37-15-17,1/28/2013,"4,500,000.00",0
Megalotto 6/45,23-08-19-15-21-20,1/30/2013,"7,569,559.80",0
Megalotto 6/45,14-22-45-42-40-26,2/1/2013,"12,817,110.60",0
Megalotto 6/45,41-32-26-14-02-45,2/4/2013,"17,149,010.40",0
Megalotto 6/45,39-41-32-22-06-19,2/6/2013,"21,712,818.60",0
Megalotto 6/45,33-14-32-25-16-09,2/8/2013,"27,651,438.00",0
Megalotto 6/45,07-44-11-03-20-02,2/11/2013,"32,612,490.00",0
Megalotto 6/45,17-33-01-39-24-25,2/13/2013,"37,646,060.40",0
Megalotto 6/45,17-40-24-22-39-08,2/15/2013,"44,075,287.80",1
Megalotto 6/45,13-27-03-17-09-16,2/18/2013,"4,500,000.00",0
Megalotto 6/45,03-26-28-41-35-06,2/20/2013,"7,623,565.20",0
Megalotto 6/45,04-35-41-09-37-15,2/22/2013,"12,435,978.60",0
Megalotto 6/45,31-30-17-09-14-27,2/25/2013,"16,531,174.80",3
Megalotto 6/45,02-33-31-34-30-28,2/27/2013,"4,500,000.00",0
Megalotto 6/45,42-17-35-16-37-13,3/1/2013,"8,750,458.80",0
Megalotto 6/45,35-38-37-10-06-30,3/4/2013,"12,905,242.20",0
Megalotto 6/45,18-08-16-22-41-45,3/6/2013,"17,147,813.40",0
Megalotto 6/45,08-23-03-17-14-04,3/8/2013,"22,776,154.20",0
Megalotto 6/45,13-20-08-34-28-07,3/11/2013,"27,391,534.20",0
Megalotto 6/45,32-13-11-34-17-27,3/13/2013,"31,996,567.80",0
Megalotto 6/45,34-21-35-28-39-07,3/15/2013,"37,963,234.80",0
Megalotto 6/45,11-16-21-03-08-29,3/18/2013,"43,000,342.20",1
Megalotto 6/45,16-45-41-29-24-21,3/20/2013,"4,500,000.00",0
Megalotto 6/45,23-33-14-26-24-35,3/22/2013,"8,400,888.00",0
Megalotto 6/45,44-13-02-36-33-16,3/25/2013,"12,234,092.40",0
Megalotto 6/45,40-24-07-31-15-06,3/27/2013,"16,221,648.60",0
Megalotto 6/45,27-42-34-37-28-43,4/1/2013,"20,254,431.60",1
Megalotto 6/45,13-23-22-25-35-20,4/3/2013,"4,500,000.00",0
Megalotto 6/45,12-29-40-32-41-01,4/5/2013,"7,867,515.60",1
Megalotto 6/45,22-40-33-27-20-05,4/8/2013,"4,500,000.00",0
Megalotto 6/45,45-36-35-22-39-03,4/10/2013,"6,562,000.80",0
Megalotto 6/45,15-16-35-29-36-02,4/12/2013,"11,249,332.20",0
Megalotto 6/45,42-41-44-18-26-30,4/15/2013,"15,225,278.40",0
Megalotto 6/45,27-02-45-30-33-07,4/17/2013,"19,304,550.00",0
Megalotto 6/45,30-38-39-31-25-13,4/19/2013,"24,884,962.20",0
Megalotto 6/45,15-44-13-09-37-01,4/22/2013,"29,525,070.60",0
Megalotto 6/45,30-41-19-37-26-31,4/24/2013,"34,126,039.80",0
Megalotto 6/45,21-09-22-40-01-39,4/26/2013,"40,001,139.00",0
Megalotto 6/45,34-37-17-09-14-21,4/29/2013,"45,049,768.20",1
Megalotto 6/45,37-21-36-32-12-31,5/1/2013,"4,500,000.00",0
Megalotto 6/45,25-39-18-04-03-16,5/3/2013,"8,436,555.00",0
Megalotto 6/45,33-42-45-36-30-35,5/6/2013,"12,595,728.60",0
Megalotto 6/45,42-39-19-23-29-08,5/8/2013,"16,432,489.80",0
Megalotto 6/45,30-02-03-22-24-27,5/10/2013,"21,725,316.00",0
Megalotto 6/45,42-37-31-07-24-33,5/13/2013,"25,134,453.00",0
Megalotto 6/45,29-04-37-12-31-21,5/15/2013,"29,721,162.60",0
Megalotto 6/45,04-33-17-02-41-23,5/17/2013,"39,289,858.60",0
Megalotto 6/45,10-19-07-21-28-22,5/20/2013,"46,457,326.60",2
Megalotto 6/45,41-30-44-04-31-38,5/22/2013,"9,000,000.00",0
Megalotto 6/45,04-39-44-36-38-26,5/24/2013,"11,862,012.00",0
Megalotto 6/45,03-39-07-04-21-15,5/27/2013,"16,608,232.00",0
Megalotto 6/45,35-17-31-15-44-24,5/29/2013,"21,310,936.00",0
Megalotto 6/45,05-39-06-11-40-10,5/31/2013,"28,551,304.00",1
Megalotto 6/45,16-31-04-45-21-20,6/3/2013,"9,000,000.00",0
Megalotto 6/45,17-25-01-26-07-10,6/5/2013,"9,000,000.00",1
Megalotto 6/45,34-43-04-07-28-31,6/7/2013,"9,000,000.00",0
Megalotto 6/45,04-03-35-39-12-30,6/10/2013,"10,341,632.00",0
Megalotto 6/45,23-37-26-25-20-40,6/12/2013,"14,179,672.00",0
Megalotto 6/45,04-24-02-27-05-41,6/14/2013,"20,735,228.00",0
Megalotto 6/45,38-05-27-34-42-03,6/17/2013,"24,929,904.00",0
Megalotto 6/45,18-41-25-24-16-37,6/19/2013,"29,309,860.00",0
Megalotto 6/45,07-20-15-26-30-45,6/21/2013,"36,207,524.00",0
Megalotto 6/45,12-22-28-23-41-29,6/24/2013,"41,039,148.00",0
Megalotto 6/45,38-16-18-17-21-37,6/26/2013,"46,202,576.00",0
Megalotto 6/45,20-19-42-18-32-01,6/28/2013,"53,987,876.00",1
Megalotto 6/45,23-40-06-11-15-45,7/1/2013,"9,000,000.00",0
Megalotto 6/45,26-23-17-07-40-32,7/3/2013,"9,000,000.00",0
Megalotto 6/45,27-29-38-28-17-01,7/5/2013,"14,843,592.00",0
Megalotto 6/45,24-03-39-21-38-17,7/8/2013,"19,295,960.00",0
Megalotto 6/45,41-09-45-03-21-17,7/10/2013,"23,715,528.00",1
Megalotto 6/45,11-24-06-34-09-45,7/12/2013,"9,000,000.00",0
Megalotto 6/45,12-04-27-05-18-19,7/15/2013,"10,179,568.00",0
Megalotto 6/45,11-19-25-33-20-24,7/17/2013,"14,274,456.00",0
Megalotto 6/45,32-33-38-10-31-15,7/19/2013,"20,559,232.00",0
Megalotto 6/45,06-41-10-11-38-42,7/22/2013,"24,952,692.00",0
Megalotto 6/45,39-41-21-15-04-07,7/24/2013,"29,412,192.00",0
Megalotto 6/45,33-29-37-36-04-12,7/26/2013,"35,620,476.00",0
Megalotto 6/45,23-13-21-31-16-05,7/29/2013,"40,743,024.00",0
Megalotto 6/45,04-11-39-13-33-43,7/31/2013,"46,125,144.00",1
Megalotto 6/45,40-23-13-42-26-33,8/2/2013,"9,000,000.00",0
Megalotto 6/45,35-23-15-08-02-10,8/5/2013,"9,820,480.00",0
Megalotto 6/45,04-41-33-27-44-09,8/7/2013,"13,510,088.00",0
Megalotto 6/45,28-23-42-22-34-10,8/9/2013,"19,133,972.00",0
Megalotto 6/45,12-32-07-44-30-26,8/12/2013,"22,598,304.00",0
Megalotto 6/45,11-37-19-32-41-23,8/14/2013,"26,627,808.00",0
Megalotto 6/45,24-18-33-45-09-16,8/16/2013,"32,874,460.00",1
Megalotto 6/45,14-06-28-09-24-40,8/19/2013,"9,000,000.00",0
Megalotto 6/45,15-33-07-06-19-13,8/21/2013,"9,000,000.00",0
Megalotto 6/45,15-26-18-34-13-29,8/23/2013,"11,263,204.00",0
Megalotto 6/45,15-39-04-02-27-09,8/26/2013,"14,691,704.00",0
Megalotto 6/45,11-28-15-30-39-27,8/28/2013,"18,310,996.00",0
Megalotto 6/45,17-10-08-37-39-18,8/30/2013,"23,939,792.00",0
Megalotto 6/45,11-05-21-13-33-01,9/2/2013,"28,306,200.00",0
